"JD","YY","MM","DD","moc","Quarter","qyyyy"
4885.5,2017,8,16,18.066187,4,"2017-4"
4886,2017,8,17,18.33054,4,"2017-4"
4886.5,2017,8,17,18.601771,4,"2017-4"
4887,2017,8,18,18.863929,4,"2017-4"
4887.5,2017,8,18,19.100318,4,"2017-4"
4888,2017,8,19,19.295263,4,"2017-4"
4888.5,2017,8,19,19.435829,4,"2017-4"
4889,2017,8,20,19.51326,4,"2017-4"
4889.5,2017,8,20,19.523971,4,"2017-4"
4890,2017,8,21,19.469979,4,"2017-4"
4890.5,2017,8,21,19.358699,4,"2017-4"
4891,2017,8,22,19.202145,4,"2017-4"
4891.5,2017,8,22,19.015627,4,"2017-4"
4892,2017,8,23,18.816096,4,"2017-4"
4892.5,2017,8,23,18.620342,4,"2017-4"
4893,2017,8,24,18.443259,4,"2017-4"
4893.5,2017,8,24,18.296373,4,"2017-4"
4894,2017,8,25,18.1868,4,"2017-4"
4894.5,2017,8,25,18.116747,4,"2017-4"
4895,2017,8,26,18.083597,4,"2017-4"
4895.5,2017,8,26,18.080537,4,"2017-4"
4896,2017,8,27,18.097633,4,"2017-4"
4896.5,2017,8,27,18.123201,4,"2017-4"
4897,2017,8,28,18.145299,4,"2017-4"
4897.5,2017,8,28,18.153149,4,"2017-4"
4898,2017,8,29,18.138327,4,"2017-4"
4898.5,2017,8,29,18.095604,4,"2017-4"
4899,2017,8,30,18.023356,4,"2017-4"
4899.5,2017,8,30,17.923535,4,"2017-4"
4900,2017,8,31,17.801228,4,"2017-4"
4900.5,2017,8,31,17.663897,4,"2017-4"
4901,2017,9,1,17.520397,4,"2017-4"
4901.5,2017,9,1,17.379904,4,"2017-4"
4902,2017,9,2,17.250872,4,"2017-4"
4902.5,2017,9,2,17.140136,4,"2017-4"
4903,2017,9,3,17.052235,4,"2017-4"
4903.5,2017,9,3,16.989028,4,"2017-4"
4904,2017,9,4,16.949623,4,"2017-4"
4904.5,2017,9,4,16.93062,4,"2017-4"
4905,2017,9,5,16.926632,4,"2017-4"
4905.5,2017,9,5,16.931013,4,"2017-4"
4906,2017,9,6,16.936719,4,"2017-4"
4906.5,2017,9,6,16.937176,4,"2017-4"
4907,2017,9,7,16.927068,4,"2017-4"
4907.5,2017,9,7,16.902929,4,"2017-4"
4908,2017,9,8,16.86347,4,"2017-4"
4908.5,2017,9,8,16.809593,4,"2017-4"
4909,2017,9,9,16.744103,4,"2017-4"
4909.5,2017,9,9,16.671151,4,"2017-4"
4910,2017,9,10,16.595508,4,"2017-4"
4910.5,2017,9,10,16.521768,4,"2017-4"
4911,2017,9,11,16.453617,4,"2017-4"
4911.5,2017,9,11,16.39328,4,"2017-4"
4912,2017,9,12,16.341238,4,"2017-4"
4912.5,2017,9,12,16.296267,4,"2017-4"
4913,2017,9,13,16.255796,4,"2017-4"
4913.5,2017,9,13,16.216521,4,"2017-4"
4914,2017,9,14,16.175161,4,"2017-4"
4914.5,2017,9,14,16.129214,4,"2017-4"
4915,2017,9,15,16.077555,4,"2017-4"
4915.5,2017,9,15,16.020725,4,"2017-4"
4916,2017,9,16,15.960839,4,"2017-4"
4916.5,2017,9,16,15.901092,4,"2017-4"
4917,2017,9,17,15.844923,4,"2017-4"
4917.5,2017,9,17,15.794978,4,"2017-4"
4918,2017,9,18,15.752065,4,"2017-4"
4918.5,2017,9,18,15.714302,4,"2017-4"
4919,2017,9,19,15.676658,4,"2017-4"
4919.5,2017,9,19,15.631019,4,"2017-4"
4920,2017,9,20,15.566848,4,"2017-4"
4920.5,2017,9,20,15.472392,4,"2017-4"
4921,2017,9,21,15.33631,4,"2017-4"
4921.5,2017,9,21,15.14952,4,"2017-4"
4922,2017,9,22,14.906984,4,"2017-4"
4922.5,2017,9,22,14.60918,4,"2017-4"
4923,2017,9,23,14.263012,4,"2017-4"
4923.5,2017,9,23,13.881983,4,"2017-4"
4924,2017,9,24,13.485556,4,"2017-4"
4924.5,2017,9,24,13.097738,4,"2017-4"
4925,2017,9,25,12.745028,4,"2017-4"
4925.5,2017,9,25,12.45396,4,"2017-4"
4926,2017,9,26,12.248528,4,"2017-4"
4926.5,2017,9,26,12.147809,4,"2017-4"
4927,2017,9,27,12.164062,4,"2017-4"
4927.5,2017,9,27,12.30153,4,"2017-4"
4928,2017,9,28,12.556086,4,"2017-4"
4928.5,2017,9,28,12.915754,4,"2017-4"
4929,2017,9,29,13.362029,4,"2017-4"
4929.5,2017,9,29,13.871822,4,"2017-4"
4930,2017,9,30,14.419799,4,"2017-4"
4930.5,2017,9,30,14.980821,4,"2017-4"
4931,2017,10,1,15.532208,4,"2017-4"
4931.5,2017,10,1,16.055574,4,"2017-4"
4932,2017,10,2,16.538046,4,"2017-4"
4932.5,2017,10,2,16.97275,4,"2017-4"
4933,2017,10,3,17.358564,4,"2017-4"
4933.5,2017,10,3,17.699193,4,"2017-4"
4934,2017,10,4,18.001722,4,"2017-4"
4934.5,2017,10,4,18.274846,4,"2017-4"
4935,2017,10,5,18.527012,4,"2017-4"
4935.5,2017,10,5,18.764711,4,"2017-4"
4936,2017,10,6,18.991137,4,"2017-4"
4936.5,2017,10,6,19.205371,4,"2017-4"
4937,2017,10,7,19.402209,4,"2017-4"
4937.5,2017,10,7,19.572644,4,"2017-4"
4938,2017,10,8,19.704961,4,"2017-4"
4938.5,2017,10,8,19.786297,4,"2017-4"
4939,2017,10,9,19.804484,4,"2017-4"
4939.5,2017,10,9,19.749941,4,"2017-4"
4940,2017,10,10,19.617369,4,"2017-4"
4940.5,2017,10,10,19.407019,4,"2017-4"
4941,2017,10,11,19.125377,4,"2017-4"
4941.5,2017,10,11,18.78514,4,"2017-4"
4942,2017,10,12,18.404486,4,"2017-4"
4942.5,2017,10,12,18.005705,4,"2017-4"
4943,2017,10,13,17.613345,4,"2017-4"
4943.5,2017,10,13,17.252105,4,"2017-4"
4944,2017,10,14,16.944696,4,"2017-4"
4944.5,2017,10,14,16.709937,4,"2017-4"
4945,2017,10,15,16.561271,4,"2017-4"
